id,filmmaker_name,production_name,title,genre,duration,country,subtitle,format,synopsis,licence,sharing,url,img_url,tags
20,Mélodie Grumberg,,A Fish in the River,fiction,4,France,yes,,,art libre,yes,,afishintheriver.png,"Fiction, France, Art libre"
21,Myriam Fontaine,,A New Life,fic,2,France,yes,,,no copyright,yes,,anewlife.png,"Fiction, France, No copyright"
22,Jung-Chul Hur,,Alpha & Omega,exp,6,South Korea,---,,,autoprod,no,,alphaomega.png,"Experimental, South Korea, Autoproduction"
1,Erik Barzman,,Analogue (Analog),fiction,4,France,yes,,,no copyright,yes,Analog-Eng-EricBarzman.mp4,Analog-Eng-EricBarzman.png,"Fiction, France, No copyright"
2,Ombline Ley,,Cavernicole,doc,30,France,yes,,,?,yes,Cavernicole.mp4,Cavernicole.png,"Documentary, France"
23,Des paquets pour la bête,,Ce qui bat,fic,75,France,yes,,,no copyright,yes,,Cequibat.png,"Fiction, France, No copyright"
3,Lu Beilin,,"China, I love you",doc,40,France,yes,,,art libre,yes,,ChinaIloveyou.png,"Documentary, France , Art libre"
24,Louisa Benrezzak,,Danse sur moi (Dance on me) version courte,doc,5,France,?,,,?,?,,dansesurmoi.png,
25,Pierre-Yves Dalka,,Der Rest vom Fest (The Rest of the Fest),doc,7,Germany,yes,,,CC 4,yes,,derrestvomfest.png,
4,Claire Désérable,,Ellie,doc,19,France,yes,,,CC 3 / school,yes,,ellie.png,
5,Flore Bleiberg,,Entre corps,fic,12,Belgium,not yet,,,no copyright,yes,,entrecorrps.png,
26,Flore Bleiberg,,Exotisme,video clip,4,Belgium,---,,,no copyright,yes,,exotisme.png,
27,"Eva Chambon, Samuel Tellier",,Extra-Tourist,fic,4,France,---,,,CC ?,yes,,extra-tourist.png,
28,"Emmanuel Piton, Pierre-Manuel Lemarchand",,Fovea,exp,9,France,---,,,no copyright,yes,,fovea.png,
29,Jeffrey Dunn Rovinelli,,Fuck Work,fic,12,USA,yes,,,CC 5,yes,,fuckwork.png,
30,Anna Mila Stella,,I Hate Shakespeare,fic,8,Italy,,,,copyzero,yes,,ihateshakespeare.png,
31,Kopfschlag,,Kopfschlag,anim / exp,10,France,---,,,CC ?,yes,,kopfschlag.png,
32,Gaston Igounet,,L'Autre Silence,fic,11,France,yes,,,no copyright,yes,,l'autresilence.png ,
6,Jen Debauche,,L'Oeil du Cyclope,doc,50,Belgium,---,,,no copyright,yes,,l'oeilducyclope.png,
33,"Noémi Aubry, Wisam Al Jafari, Tamador Abu Laban, Firas Ramadan",,La Machine d'enregistrement,doc,9,France,yes,,,no copyright,yes,,lamachined'enregistrement.png,
34,Thivolle et Mortada,,Le Mirage et la Pierre,doc,15,France,,,,No copyright / Art Libre,yes / no ?,,lemirageetlapierre.png,
7,Pierre Liebaert,,Libre maintenant Femme absente (Free Now Wife Away),doc,11,Belgium,yes,,,no copyright,yes,,libremaintenant.png,
8,Collective creation,,Lou Bëth Xayma (What eyes are pretending to see),doc anim,14,Belgium,yes,,,copyright,yes but not internet,,loubethxayma.png,
35,Bruno Rocchi,,Mount Gourougou,doc,9,Italy,,,,CC ?,yes,,mountgourougou.png,
36,Frédérique Menant,,Mue(s),exp,10,France,---,,,no copyright,yes,,mue.png,
9,Christophe Karabache,,New Blood: Wild Chronicle of Beirut,fic / doc,11,France,yes,,,autoprod,yes,,newblood.png,
10,Collective Les Scotcheuses,,No Ouestern,fic,27,France,---,,,no copyright,yes,,noouestern.png,
11,"Mehdi Ahoudig, Anna Salzberg",,On ira à Neuilly Inch'Allah (We'll go to Neuilly Inch'Allah),exp / doc,20,France,yes,,,prod GREC,yes but not after on internet,,onira.png,
12,Pourya Ezzati Pour,,Pale Blue Dot,fic,11,Germany,yes,,,"""SCALA Programmkino Lüneburg""",no,,palebluedot.png,
13,"Lise Bellynck, Frédéric Aspisi",,"Peaux Noires Masques Blancs (Black Skins, White Masks)",doc,56,France,yes,,,no copyright,yes,,peauxnoiresmasquesblancs.png,
14,Jérome von Zilw,,Printemps (Spring),doc,27,France,yes,,,prod,yes only for pro ! ,,,
15,Collective Les Scotcheuses,,Sème ton western,fic / doc / exp,24,France,---,,,no copyright,yes,,semetonwestern.png,
16,Anaïs Ibert,,Siboney,fic,11,France,yes,,,no copyright,yes,,siboneymaster2gss.png,
17,Bruno Rocchi,,The Limb of Morocco,doc,40,Italy,yes,,,CC ?,yes,,thelimbofmorocco.png,
18,Mersiha Husagic,,Was kommt kommt (What Comes Comes),doc,25,Germany,yes,,,no copyright,yes,,whatcomescomes.png,
19,"Noémi Aubry, Anouck Mangeat, Gurkan Aslan",,Yolunuz Açik Olsun,doc,8,France,yes,,,no copyright,yes,,yolunuz.png,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
